"la_name","stat_1","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10"
"South Gloucestershire","West Sussex","Leicestershire","Hampshire","North Somerset","Worcestershire","Gloucestershire","Central Bedfordshire","Essex","Warwickshire","Wiltshire"
"Hartlepool","Halton","Blackpool","Middlesbrough","Knowsley","South Tyneside","Sunderland","Redcar and Cleveland","Salford","Barnsley","North East Lincolnshire"
"Middlesbrough","Hartlepool","Salford","Halton","Stoke-on-Trent","Tameside","Rochdale","Blackpool","South Tyneside","Kingston Upon Hull, City of","Knowsley"
"Redcar and Cleveland","Barnsley","North East Lincolnshire","Wigan","St Helens","Tameside","Doncaster","Rotherham","Durham","Wirral","Darlington"
"Stockton-on-Tees","Darlington","Calderdale","Lancashire","Bury","Wigan","St Helens","Sefton","Wirral","North Tyneside","Durham"
"Kingston Upon Hull, City of","Stoke-on-Trent","Middlesbrough","Blackpool","North East Lincolnshire","Salford","Hartlepool","Portsmouth","South Tyneside","Plymouth","Southampton"
"East Riding of Yorkshire","Cheshire West and Chester","Staffordshire","Warrington","North Yorkshire","Warwickshire","Cheshire East","Derbyshire","Nottinghamshire","Worcestershire","Northumberland"
"North East Lincolnshire","Redcar and Cleveland","Doncaster","Barnsley","Tameside","Rotherham","Wigan","St Helens","Wakefield","Telford and Wrekin","North Lincolnshire"
"North Lincolnshire","Doncaster","Telford and Wrekin","Rotherham","Lincolnshire","Derbyshire","Wigan","Dudley","Norfolk","North Northamptonshire","Nottinghamshire"
"North Yorkshire","Cheshire East","East Riding of Yorkshire","Warwickshire","Cheshire West and Chester","Rutland","Central Bedfordshire","Worcestershire","Staffordshire","Warrington","West Berkshire"
"York","Warwickshire","Cheshire West and Chester","Warrington","Stockport","Cheshire East","Hertfordshire","Hampshire","Central Bedfordshire","Bracknell Forest","Worcestershire"
"Luton","Birmingham","Slough","Sandwell","Bradford","Enfield","Walsall","Hillingdon","Derby","Redbridge","Peterborough"
"Bedford","West Northamptonshire","Kent","Swindon","Milton Keynes","Warwickshire","North Northamptonshire","Medway Towns","Hertfordshire","Essex","Derby"
"Central Bedfordshire","Hampshire","Leicestershire","Warwickshire","South Gloucestershire","Essex","Cheshire East","West Sussex","Bracknell Forest","West Berkshire","Hertfordshire"
"Buckinghamshire","Surrey","West Berkshire","Windsor and Maidenhead","Hertfordshire","Oxfordshire","Hampshire","Bracknell Forest","Cambridgeshire","Central Bedfordshire","Trafford"
"Milton Keynes","Bedford","Leeds","West Northamptonshire","Bexley","Reading","Thurrock","Swindon","Hertfordshire","Kent","Derby"
"Derbyshire","Nottinghamshire","Lancashire","Staffordshire","Lincolnshire","Cumbria","Worcestershire","North Northamptonshire","Cheshire West and Chester","Wigan","Kent"
"Derby","Peterborough","Sheffield","Bolton","Telford and Wrekin","Coventry","Walsall","Dudley","Medway Towns","Kirklees","Leeds"
"Dorset","Devon","Somerset","Shropshire","Gloucestershire","Worcestershire","East Sussex","Suffolk","Cornwall","Wiltshire","Norfolk"
"Durham","St Helens","Gateshead","Sunderland","Darlington","Barnsley","Wakefield","Wigan","Redcar and Cleveland","Stockton-on-Tees","North Tyneside"
"Darlington","Stockton-on-Tees","Wirral","St Helens","North Tyneside","Durham","Calderdale","Gateshead","Wigan","Sefton","Redcar and Cleveland"
"East Sussex","Kent","Worcestershire","Dorset","Essex","Suffolk","Devon","North Somerset","Somerset",NA,"Norfolk"
"Brighton and Hove","Reading","Bristol, City of","Bath and North East Somerset",NA,"Southend-on-Sea","Portsmouth","Leeds","Sheffield","York","East Sussex"
"Hampshire","West Sussex","South Gloucestershire","Central Bedfordshire","Cambridgeshire","North Somerset","Gloucestershire","Leicestershire","Worcestershire","Warwickshire","Hertfordshire"
"Portsmouth","Southampton","Plymouth","Sheffield","Derby","Peterborough","Bristol, City of","Telford and Wrekin","Southend-on-Sea","Coventry","Salford"
"Southampton","Portsmouth","Sheffield","Peterborough","Plymouth","Derby","Bristol, City of","Coventry","Stoke-on-Trent","Kingston Upon Hull, City of","Salford"
"Leicestershire","South Gloucestershire","Warwickshire","Central Bedfordshire","Worcestershire","Hampshire","Essex","West Sussex","North Somerset","Staffordshire","Cheshire East"
"Leicester","Slough","Hounslow","Sandwell","Wolverhampton","Hillingdon","Blackburn with Darwen","Coventry","Walsall","Southampton","Peterborough"
"Rutland","North Yorkshire","West Berkshire","Cheshire East","Wiltshire","Central Bedfordshire","Buckinghamshire","Oxfordshire","Hampshire","Warwickshire","Cambridgeshire"
"Staffordshire","Nottinghamshire","Derbyshire","Worcestershire","Warwickshire","Essex","East Riding of Yorkshire","Cheshire West and Chester","North Northamptonshire","Cumbria","Lancashire"
"Stoke-on-Trent","Kingston Upon Hull, City of","Middlesbrough","Tameside","Doncaster","North East Lincolnshire","Walsall","Barnsley","Rochdale","Rotherham","Blackpool"
"Wiltshire","Gloucestershire","Shropshire","Devon","Cambridgeshire","West Sussex","Bath and North East Somerset","Worcestershire","Hampshire","North Somerset","Dorset"
"Swindon","Kent","Medway Towns","Southend-on-Sea","West Northamptonshire","Telford and Wrekin","Essex",NA,"Nottinghamshire","Lancashire","North Northamptonshire"
"Bracknell Forest","Hertfordshire","Hampshire","Central Bedfordshire","West Berkshire","Oxfordshire","West Sussex","Trafford","South Gloucestershire","Buckinghamshire","York"
"Windsor and Maidenhead","Surrey","Buckinghamshire","West Berkshire","Hertfordshire","Wokingham","Oxfordshire","Bracknell Forest","Cambridgeshire","Hampshire","Trafford"
"West Berkshire","Buckinghamshire","Hampshire","Central Bedfordshire","Oxfordshire","Surrey","Hertfordshire","Cambridgeshire","Cheshire East","Bracknell Forest","Rutland"
"Reading","Sutton","Milton Keynes","Bristol, City of","Bedford","Brighton and Hove","Barnet","Hillingdon","Derby","Sheffield","Southampton"
"Slough","Hillingdon","Hounslow","Redbridge","Luton","Ealing","Leicester","Reading","Barnet","Blackburn with Darwen","Birmingham"
"Wokingham","Surrey","Windsor and Maidenhead","Buckinghamshire","West Berkshire","Bracknell Forest","Hertfordshire","Cheshire East","Oxfordshire","Rutland","Hampshire"
"Cambridgeshire","Oxfordshire","Gloucestershire","Hampshire","Bath and North East Somerset","Wiltshire","West Sussex","West Berkshire","Hertfordshire","Worcestershire","Warwickshire"
"Peterborough","Derby","Telford and Wrekin","Medway Towns","Walsall","Plymouth","Southampton","Portsmouth","Sheffield","Bolton","Rotherham"
"Halton","Hartlepool","Knowsley","Sunderland","Middlesbrough","South Tyneside","Redcar and Cleveland","Barnsley","North East Lincolnshire","Durham","Darlington"
"Warrington","Cheshire West and Chester","Warwickshire","Solihull","East Riding of Yorkshire","Stockport","Staffordshire","Cheshire East","Nottinghamshire","Bury","Essex"
"Devon","Somerset","Shropshire","Dorset","Herefordshire","Cornwall","Gloucestershire","Suffolk","Wiltshire","Worcestershire","Norfolk"
"Plymouth","Torbay","Portsmouth","Telford and Wrekin","Isle of Wight","Southend-on-Sea","Rotherham",NA,"Medway Towns","Peterborough","Tameside"
"Torbay","Isle of Wight","Plymouth","Redcar and Cleveland","Rotherham","Southend-on-Sea","Telford and Wrekin","Wigan",NA,"North East Lincolnshire","Norfolk"
"Essex","Kent","Worcestershire","Staffordshire","West Sussex","Warwickshire","South Gloucestershire","Central Bedfordshire","Leicestershire","Hampshire","North Somerset"
"Southend-on-Sea",NA,"Swindon","Medway Towns","Kent","East Sussex","Plymouth","Isle of Wight","Telford and Wrekin","Suffolk","Essex"
"Thurrock","Medway Towns","Bexley","Havering","Swindon","Dudley","Southend-on-Sea","West Northamptonshire","Telford and Wrekin","Milton Keynes","Peterborough"
"Herefordshire","Shropshire","Devon","Cornwall","Somerset","Dorset","Wiltshire","Suffolk","Norfolk","Gloucestershire","Cumbria"
"Worcestershire","Warwickshire","North Somerset","Essex","Staffordshire","Dorset","East Sussex","West Sussex","South Gloucestershire","Leicestershire","Kent"
"Kent","Essex","East Sussex","Swindon","Worcestershire","Lancashire","West Northamptonshire","Nottinghamshire","Warwickshire","Suffolk","Staffordshire"
"Medway Towns","Swindon","Telford and Wrekin","Dudley","Southend-on-Sea","Kent","Thurrock","West Northamptonshire","Rotherham","Havering","North Northamptonshire"
"Lancashire","Nottinghamshire","Calderdale","Derbyshire","Sefton","Bury","Stockton-on-Tees","Kent","Staffordshire","Wigan","Cheshire West and Chester"
"Blackburn with Darwen","Bradford","Walsall","Bolton","Peterborough","Rochdale","Derby","Kirklees","Oldham","Coventry","Telford and Wrekin"
"Blackpool","Hartlepool","Middlesbrough","Halton","Redcar and Cleveland","Stoke-on-Trent","South Tyneside","Kingston Upon Hull, City of","North East Lincolnshire","Knowsley","Tameside"
"Nottinghamshire","Derbyshire","Staffordshire","Lancashire","Worcestershire","Lincolnshire","North Northamptonshire","Cumbria","Essex","Kent","Cheshire West and Chester"
"Nottingham","Manchester","Wolverhampton","Southampton","Sandwell","Bristol, City of","Birmingham","Portsmouth","Salford","Coventry","Kingston Upon Hull, City of"
"Shropshire","Devon","Herefordshire","Dorset","Wiltshire","Somerset","Gloucestershire","Suffolk","Worcestershire","Cornwall","Cumbria"
"Telford and Wrekin","Medway Towns","Rotherham","North Lincolnshire","Dudley","Doncaster","Swindon","Wigan","Peterborough","Lancashire","Plymouth"
"Cheshire East","Cheshire West and Chester","Warwickshire","Central Bedfordshire","North Yorkshire","Hampshire","Warrington","North Somerset","East Riding of Yorkshire","Worcestershire","Leicestershire"
"Cheshire West and Chester","Warrington","Warwickshire","East Riding of Yorkshire","Cheshire East","Worcestershire","Stockport","Staffordshire","Nottinghamshire","Solihull","Essex"
"Cornwall","Somerset","Norfolk","Devon","Herefordshire","Suffolk","Dorset","Shropshire","Lincolnshire","East Sussex","Isle of Wight"
"Cumbria","Lincolnshire","Norfolk","Derbyshire","Nottinghamshire","Staffordshire","Worcestershire","Suffolk","North Northamptonshire","Shropshire","Devon"
"Gloucestershire","Wiltshire","Bath and North East Somerset","West Sussex","Cambridgeshire","Devon","Dorset","Shropshire","Hampshire","South Gloucestershire","Worcestershire"
"Hertfordshire","Bracknell Forest","Oxfordshire","Hampshire","Trafford","Central Bedfordshire","Buckinghamshire","West Berkshire","West Sussex","Cambridgeshire","Windsor and Maidenhead"
"Isle of Wight","Torbay","Norfolk","East Sussex","Cornwall","Lincolnshire","Plymouth","Southend-on-Sea",NA,"Suffolk","Derbyshire"
"Lincolnshire","Norfolk","Cumbria","Derbyshire","Nottinghamshire","Suffolk","North Lincolnshire","North Northamptonshire","Cornwall","Staffordshire","Worcestershire"
"Norfolk","Lincolnshire","Suffolk","Cornwall","Somerset","Cumbria","Devon","Isle of Wight","Dorset","East Sussex","Shropshire"
"Northumberland","East Riding of Yorkshire","Warrington","North Tyneside","Cheshire West and Chester","Stockton-on-Tees","Calderdale","Staffordshire","Derbyshire","Nottinghamshire","Lancashire"
"Oxfordshire","Cambridgeshire","Hertfordshire","Bath and North East Somerset","Hampshire","West Berkshire","Wiltshire","Gloucestershire","Buckinghamshire","Bracknell Forest","West Sussex"
"Somerset","Devon","Cornwall","Suffolk","Dorset","Shropshire","Norfolk","Herefordshire","Gloucestershire","East Sussex","Wiltshire"
"Suffolk","Somerset","Norfolk","Devon","Cornwall","Dorset","Shropshire","Lincolnshire","East Sussex","Worcestershire","Gloucestershire"
"Surrey","Windsor and Maidenhead","Buckinghamshire","West Berkshire","Wokingham","Hertfordshire","Oxfordshire","Bracknell Forest","Hampshire","Cambridgeshire","Central Bedfordshire"
"Warwickshire","Cheshire West and Chester","Worcestershire","Staffordshire","Leicestershire","Central Bedfordshire","Cheshire East","Essex","Warrington","Hampshire","North Somerset"
"West Sussex","Hampshire","South Gloucestershire","Gloucestershire","North Somerset","Worcestershire","Essex","Leicestershire","Central Bedfordshire","Wiltshire","Bath and North East Somerset"
"North Northamptonshire","West Northamptonshire","Nottinghamshire","Staffordshire","Lincolnshire","Derbyshire","Cumbria","Kent","Worcestershire","Suffolk","Warwickshire"
"West Northamptonshire","North Northamptonshire","Kent","Swindon","Essex","Warwickshire","Bedford","Staffordshire","Nottinghamshire","Worcestershire","Medway Towns"
