"la_name","stat_1","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10"
"Camden","Westminster","Hammersmith and Fulham","Kensington and Chelsea","Islington","Wandsworth","Manchester","Greenwich","Reading","Haringey","Barnet"
"Greenwich","Enfield","Barking and Dagenham","Haringey","Waltham Forest","Manchester","Reading","Southwark","Hammersmith and Fulham","Ealing","Merton"
"Hackney","Southwark","Lambeth","Haringey","Lewisham","Islington","Waltham Forest","Hammersmith and Fulham","Croydon","Greenwich","Enfield"
"Hammersmith and Fulham","Wandsworth","Westminster","Camden","Kensington and Chelsea","Islington","Haringey","Greenwich","Merton","Reading","Southwark"
"Islington","Hammersmith and Fulham","Camden","Westminster","Southwark","Haringey","Hackney","Manchester","Lambeth","Wandsworth","Greenwich"
"Kensington and Chelsea","Westminster","Hammersmith and Fulham","Wandsworth","Camden","Barnet",NA,"Merton","Reading","Brighton and Hove","Islington"
"Lambeth","Hackney","Lewisham","Southwark","Haringey","Croydon","Islington","Waltham Forest","Hammersmith and Fulham","Enfield","Greenwich"
"Lewisham","Lambeth","Croydon","Haringey","Waltham Forest","Hackney","Southwark","Enfield","Brent","Greenwich","Hammersmith and Fulham"
"Southwark","Hackney","Lambeth","Haringey","Islington","Greenwich","Lewisham","Hammersmith and Fulham","Waltham Forest","Enfield","Croydon"
"Tower Hamlets","Camden","Newham","Westminster","Islington","Manchester","Hackney","Birmingham","Luton","Hammersmith and Fulham","Haringey"
"Wandsworth","Hammersmith and Fulham","Kensington and Chelsea","Merton","Westminster","Camden","Reading","Barnet","Brighton and Hove","Haringey","Richmond upon Thames"
"Westminster","Camden","Hammersmith and Fulham","Kensington and Chelsea","Islington","Wandsworth","Manchester","Greenwich","Reading","Barnet","Merton"
"Barking and Dagenham","Greenwich","Enfield","Manchester","Luton","Birmingham","Waltham Forest","Slough","Nottingham","Coventry","Newham"
"Barnet","Merton","Kingston upon Thames","Reading","Sutton","Hillingdon","Redbridge","Hounslow","Milton Keynes","Ealing","Bromley"
"Bexley","Havering","Thurrock","Medway Towns","Milton Keynes","Southend-on-Sea","West Northamptonshire","Kent","Swindon","Bedford","Essex"
"Brent","Ealing","Waltham Forest","Croydon","Haringey","Newham","Enfield","Hounslow","Slough","Redbridge","Greenwich"
"Bromley","Trafford","Hertfordshire","Bracknell Forest","Sutton","Stockport","Bedford","Oxfordshire","Solihull","Hampshire","Central Bedfordshire"
"Croydon","Enfield","Waltham Forest","Lewisham","Haringey","Brent","Greenwich","Lambeth","Birmingham","Merton","Ealing"
"Ealing","Hounslow","Merton","Redbridge","Hillingdon","Harrow","Brent","Barnet","Slough","Waltham Forest","Reading"
"Enfield","Waltham Forest","Croydon","Greenwich","Haringey","Birmingham","Barking and Dagenham","Luton","Reading","Hillingdon","Ealing"
"Haringey","Waltham Forest","Hackney","Southwark","Enfield","Lambeth","Lewisham","Croydon","Greenwich","Hammersmith and Fulham","Islington"
"Harrow","Redbridge","Ealing","Hounslow","Hillingdon","Barnet","Merton","Kingston upon Thames","Slough","Sutton","Brent"
"Havering","Bexley","Medway Towns","Essex","Bury","Kent","Thurrock","West Northamptonshire","Swindon","Lancashire","Southend-on-Sea"
"Hillingdon","Hounslow","Redbridge","Slough","Sutton","Barnet","Reading","Ealing","Coventry","Milton Keynes","Merton"
"Hounslow","Ealing","Hillingdon","Slough","Redbridge","Barnet","Harrow","Merton","Reading","Leicester","Sutton"
"Kingston upon Thames","Barnet","Sutton","Merton","Richmond upon Thames","Windsor and Maidenhead","Reading","Surrey","Hertfordshire","Bracknell Forest","Bromley"
"Merton","Barnet","Ealing","Reading","Kingston upon Thames","Sutton","Redbridge","Hillingdon","Wandsworth","Hounslow","Enfield"
"Newham","Brent","Waltham Forest","Barking and Dagenham","Greenwich","Haringey","Ealing","Slough","Enfield","Luton","Hackney"
"Redbridge","Hillingdon","Ealing","Barnet","Hounslow","Slough","Harrow","Merton","Luton","Sutton","Reading"
"Richmond upon Thames","Windsor and Maidenhead","Surrey","Wokingham","Oxfordshire","Kingston upon Thames","Buckinghamshire","Hertfordshire","Bromley","Cambridgeshire","West Berkshire"
"Sutton","Bromley","Reading","Hertfordshire","Bedford","Bracknell Forest","Barnet","Kingston upon Thames","Bexley","Milton Keynes","Swindon"
"Waltham Forest","Enfield","Haringey","Croydon","Brent","Greenwich","Birmingham","Luton","Ealing","Lewisham","Merton"
"Birmingham","Luton","Sandwell","Wolverhampton","Nottingham","Manchester","Walsall","Enfield","Derby","Waltham Forest","Bradford"
"Coventry","Derby","Bolton","Peterborough","Leeds","Sheffield","Portsmouth","Medway Towns","Walsall","Tameside","Southampton"
"Dudley","Rotherham","Telford and Wrekin","Medway Towns","Wigan","Doncaster","Lancashire","North Lincolnshire","Derbyshire","Tameside","Nottinghamshire"
"Sandwell","Wolverhampton","Walsall","Birmingham","Derby","Coventry","Nottingham","Peterborough","Stoke-on-Trent","Luton","Blackburn with Darwen"
"Solihull","Stockport","Warrington","Cheshire West and Chester","Warwickshire","Trafford","Cheshire East","Bury","Essex","Central Bedfordshire","East Riding of Yorkshire"
"Walsall","Derby","Rochdale","Peterborough","Stoke-on-Trent","Bolton","Tameside","Dudley","Sandwell","Kirklees","Telford and Wrekin"
"Wolverhampton","Sandwell","Nottingham","Walsall","Coventry","Birmingham","Derby","Southampton","Sheffield","Peterborough","Stoke-on-Trent"
"Knowsley","Halton","Hartlepool","South Tyneside","Middlesbrough","Sunderland","Blackpool","Liverpool","Salford","Tameside","Redcar and Cleveland"
"Liverpool","Salford","South Tyneside","Newcastle upon Tyne","Knowsley","Middlesbrough","Hartlepool","Sunderland","Halton","Gateshead","Darlington"
"St Helens","Wigan","Redcar and Cleveland","Darlington","Durham","Barnsley","Stockton-on-Tees","Wakefield","Gateshead","Tameside","North Tyneside"
"Sefton","Wirral","Lancashire","Stockton-on-Tees","North Tyneside","Nottinghamshire","Bury","Wigan","Derbyshire","Darlington","Calderdale"
"Wirral","Sefton","Darlington","Stockton-on-Tees","St Helens","North Tyneside","Redcar and Cleveland","Wigan","Lancashire","Calderdale","Durham"
"Bolton","Kirklees","Derby","Dudley","Tameside","Rochdale","Telford and Wrekin","Calderdale","Leeds","Rotherham","Coventry"
"Bury","Calderdale","Lancashire","Stockton-on-Tees","Sefton","Stockport","Warrington","Solihull","Nottinghamshire","Kent","Cheshire West and Chester"
"Manchester","Nottingham","Bristol, City of","Southampton","Birmingham","Salford","Portsmouth","Sheffield","Liverpool","Wolverhampton","Newcastle upon Tyne"
"Oldham","Rochdale","Bradford","Walsall","Tameside","Kirklees","Bolton","Derby","Dudley","Blackburn with Darwen","Rotherham"
"Rochdale","Oldham","Tameside","Bolton","Walsall","Kirklees","Middlesbrough","Rotherham","Doncaster","Derby","Stoke-on-Trent"
"Salford","Liverpool","Middlesbrough","South Tyneside","Newcastle upon Tyne","Hartlepool","Sheffield","Sunderland","Tameside","Gateshead","Halton"
"Stockport","Cheshire West and Chester","Solihull","Warrington","Warwickshire","Essex","Worcestershire","Bury","Lancashire","Kent","North Somerset"
"Tameside","Rotherham","Redcar and Cleveland","Doncaster","North East Lincolnshire","Wigan","St Helens","Barnsley","Sunderland","Darlington","Gateshead"
"Trafford","Hertfordshire","Bromley","Solihull","Stockport","Bracknell Forest","Central Bedfordshire","York","Cheshire East","Hampshire","Buckinghamshire"
"Wigan","St Helens","Rotherham","Redcar and Cleveland","Doncaster","Barnsley","Wakefield","Stockton-on-Tees","Dudley","Tameside","North East Lincolnshire"
"Barnsley","Redcar and Cleveland","Doncaster","Wigan","Rotherham","North East Lincolnshire","Wakefield","St Helens","Durham","Sunderland","Tameside"
"Doncaster","Rotherham","Barnsley","North East Lincolnshire","Wigan","Wakefield","Tameside","North Lincolnshire","Redcar and Cleveland","Dudley","Telford and Wrekin"
"Rotherham","Doncaster","Wigan","Dudley","Tameside","Barnsley","Telford and Wrekin","North Lincolnshire","Redcar and Cleveland","North East Lincolnshire","Wakefield"
"Sheffield","Derby","Leeds","Portsmouth","Bolton","Telford and Wrekin","Plymouth","Southampton","Peterborough","Tameside","Calderdale"
"Bradford","Rochdale","Oldham","Blackburn with Darwen","Kirklees","Walsall","Peterborough","Derby","Bolton","Dudley","Telford and Wrekin"
"Calderdale","Lancashire","Stockton-on-Tees","Bury","Darlington","Nottinghamshire","Derbyshire","Sefton","Kirklees","Wigan","Leeds"
"Kirklees","Bolton","Calderdale","Dudley","Bury","Derby","Rochdale","Stockton-on-Tees","Leeds","Lancashire","Telford and Wrekin"
"Leeds","Sheffield","Darlington","Calderdale","Bury","Stockton-on-Tees","Bolton","Derby","North Tyneside","Kirklees","Wirral"
"Wakefield","Wigan","Doncaster","Barnsley","St Helens","Rotherham","Gateshead","Durham","Sunderland","Redcar and Cleveland","North East Lincolnshire"
"Gateshead","Sunderland","Durham","St Helens","Darlington","South Tyneside","Wakefield","North Tyneside","Tameside","Barnsley","Wigan"
"Newcastle upon Tyne","Salford","Liverpool","Middlesbrough","Sheffield","Leeds","Hartlepool","Halton","South Tyneside","Sunderland","Gateshead"
"North Tyneside","Darlington","Stockton-on-Tees","Sefton","St Helens","Wirral","Gateshead","Durham","Northumberland","Calderdale","Wigan"
"South Tyneside","Sunderland","Gateshead","Salford","Hartlepool","Halton","Redcar and Cleveland","Tameside","St Helens","Liverpool","Durham"
"Sunderland","Gateshead","South Tyneside","Durham","Barnsley","St Helens","Halton","Tameside","Redcar and Cleveland","Wakefield","Darlington"
"Bath and North East Somerset","Gloucestershire","Cambridgeshire","Oxfordshire","Wiltshire","West Sussex","Hampshire","North Somerset","South Gloucestershire","Worcestershire","Devon"
"Bristol, City of","Portsmouth","Southampton","Reading","Sheffield","Brighton and Hove","Derby","Coventry","Plymouth","Leeds","Peterborough"
"North Somerset","Worcestershire","South Gloucestershire","West Sussex","Hampshire","Gloucestershire","Leicestershire","Essex","Warwickshire","Wiltshire","East Sussex"
